
COMUNICACIONES2

"Nombre del ordenador:","COMUNICACIONES2"
"Nombre del producto:","DataTraveler 3.0"
"Número de serie:","E0D55EA57490F4B0394629EE"
"Versión USB admitida:","3.00 (Connected to a USB 2.00 Port)"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"ID de hardware:","USB\VID_0951&PID_1666"
"Fabricante del controlador:","Dispositivo de almacenamiento USB compatible"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0951&PID_1666\E0D55EA57490F4B0394629EE"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(2)"

[Port3] : ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard

"Fabricante del dispositivo:","ELAN Microelectronics"
"Nombre del producto:","ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F3&PID_0103"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F3&PID_0103\6&17AEE501&0&3"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(3)"

[Port4] : Genius, PID=0186

"Fabricante del dispositivo:","KYE SYSTEMS CORP."
"Nombre del producto:","Wired Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0458&PID_0186"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0458&PID_0186\6&17AEE501&0&4"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(4)"

[Port5] : Realtek Semiconductor Realtek USB 2.0 Card Reader

"Fabricante del dispositivo:","Generic"
"Nombre del producto:","USB2.0-CRW"
"Número de serie:","20060413092100000"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Realtek USB 2.0 Card Reader"
"ID de hardware:","USB\VID_0BDA&PID_0186"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek USB 2.0 Card Reader"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","10.0.16299.31241"
"Fecha del controlador del dispositivo:","14-Mar-2018"
"DeviceInstanceId","USB\VID_0BDA&PID_0186\20060413092100000"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(5)"

[Port6] : No Device Connected


[Port2] : No Device Connected


Intel H61 Express Chipset - LPC Interface Controller [B2]

"Nombre del dispositivo:","Intel H61 Express Chipset - LPC Interface Controller [B2]"
"Nombre del dispositivo original:","Intel H61 Express Chipset - LPC Interface Controller [B2]"
"Clase de dispositivo:","PCI-to-ISA Bridge"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:0"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C5C&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","N/A"
"Pin de interrupción:","N/A"
"Bus Mastering:","Activado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","No capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) H61 Express Chipset Family LPC Interface Controller - 1C5C"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C5C&SUBSYS_308C17AA&REV_04\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B2]"
"Clase de dispositivo:","SATA AHCI Controller"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:2"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C02&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","N/A"
"Pin de interrupción:","INTB#"
"Dirección base de E/S 0","F0B0"
"Dirección base de E/S 1","F0A0"
"Dirección base de E/S 2","F090"
"Dirección base de E/S 3","F080"
"Dirección base de E/S 4","F060"
"Dirección base de memoria 5","F7E06000"
"Bus Mastering:","Activado"
"Running At 66 MHz:","Capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Velocidad de interfaz admitida:","Gen2 3.0 Gbps"
"Número de puertos:","4"
"Soporte SATA externo:","No capaz"
"Aggressive Link Power Management:","Capaz"
"Staggered Spin-up:","No capaz"
"Mechanical Presence Switch:","No capaz"
"Command Queue Acceleration:","Capaz"
"64-bit Addressing:","Capaz"
"Estado AHCI:","Activado"
"Versión AHCI:","1.30"
"Puertos implementados:","0, 1"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen2 3.0 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Estado del puerto:","Dispositivo presente, comunicación Phy establecida"
"Velocidad de interfaz actual:","Gen1 1.5 Gbps"
"Puerto SATA externo:","No capaz"
"Hot Plug:","No capaz"
"Tipo de dispositivo:","SATA"
"Fabricante del controlador:","Controladora SATA AHCI estándar"
"Descripción del controlador:","Controladora SATA AHCI estándar"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1889"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C02&SUBSYS_308C17AA&REV_04\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Cougar Point PCH - SMBus Controller [B2]

"Nombre del dispositivo:","Intel Cougar Point PCH - SMBus Controller [B2]"
"Nombre del dispositivo original:","Intel Cougar Point PCH - SMBus Controller [B2]"
"Clase de dispositivo:","SMBus (System Management Bus)"
"ID de revisión:","4 [B2]"
"Número de dirección PCI (Bus: Dispositivo: Función):","0:31:3"
"PCI Latency Timer:","0"
"ID de hardware:","PCI\VEN_8086&DEV_1C22&SUBSYS_308C17AA&REV_04"
"Línea de interrupción:","IRQ11"
"Pin de interrupción:","INTC#"
"Dirección base de memoria 0","F7E05000"
"Dirección base de E/S 4","F040"
"Bus Mastering:","Deshabilitado"
"Running At 66 MHz:","No capaz"
"Fast Back-to-Back Transactions:","Capaz"
"Fabricante del controlador:","INTEL"
"Descripción del controlador:","Intel(R) 6 Series/C200 Series Chipset Family SMBus Controller - 1C22"
"Proveedor de controladores:","INTEL"
"Versión del controlador:","10.1.1.38"
"Fecha del controlador del dispositivo:","02-Oct-2016"
"DeviceInstanceId","PCI\VEN_8086&DEV_1C22&SUBSYS_308C17AA&REV_04\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Adaptador gráfico


Intel HD Graphics 2500

"Chipset de gráficos:","Intel HD Graphics 2500"
"Nombre en clave del chipset de gráficos:","Ivy Bridge GT1"
"Memoria gráfica:","2176 MBytes"
"Tarjeta grafica:","Intel Ivy Bridge-DT GT1 - Integrated Graphics [E1/L1/N0/P0] [Lenovo]"
"Bus de tarjeta gráfica:","Integrated"
"Gráficos RAMDAC:","Internal"
"Frecuencia del procesador de gráficos:","349.2 MHz"
"Frecuencia de memoria gráfica:","798.0 MHz"
"Soporte de barra redimensionable (ReBAR):","No soportado"
"ID de hardware:","PCI\VEN_8086&DEV_0152&SUBSYS_308C17AA&REV_09"
"Ubicación PCI (Bus:Dispositivo:Función):","0:02:0"
"Fabricante del controlador:","Intel Corporation"
"Descripción del controlador:","Intel(R) HD Graphics"
"Proveedor de controladores:","Intel Corporation"
"Versión del controlador:","10.18.10.4358"
"Fecha del controlador del dispositivo:","20-Dec-2015"
"DCH/UWD Driver:","No capaz"
"DeviceInstanceId","PCI\VEN_8086&DEV_0152&SUBSYS_308C17AA&REV_09\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


AOC 917W

"Nombre del monitor:","AOC 917W"
"Nombre del monitor (del fabricante):","917W         "
"Número de serie:","H2484JA024894"
"Fecha de manufactura:","Semana: 16, Año: 2008"
"ID de hardware del monitor:","Monitor\AOC1917"
"Máx. Tamaño vertical:","25 cm"
"Máx. Tamaño horizontal:","40 cm"
"Frecuencia horizontal:","30 - 83 kHz"
"Frecuencia vertical:","55 - 75 Hz"
"Reloj máximo de píxeles:","140 MHz"
"Señal de entrada:","Analógico: 0.700 V / 0.000 V (0.700 V p-p)"
"Tipo de visualización:","color RGB"
"Gamma Factor:","2.20"
"Standby:","No soportado"
"Suspend:","No soportado"
"Active Off:","Soportado"
"Standard Colour Space (sRGB) Default:","Soportado"
"Preferred Timing Mode:","Soportado"
"Default GTF (Continuous Frequency):","No soportado"
"Serration VSync:","No soportado"
"Sync On Green:","No soportado"
"Composite Sync:","No soportado"
"Separate Syncs:","Soportado"
"Blank-to-black Setup:","No soportado"
"1152 x 864","75 Hz"
"1280 x 960","60 Hz"
"1280 x 1024","60 Hz"
"1440 x 900","60 Hz"
"1440 x 900","75 Hz"
"1440 x 900","410 x 256 mm, Reloj de píxeles 106.50 MHz"
"Fabricante del controlador:","(Tipo de monitor estándar)"
"Descripción del controlador:","Monitor PnP genérico"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1151"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","DISPLAY\AOC1917\4&2E02E3D5&0&UID16843008"

Unidades de disco


Unidades (S)ATA/ATAPI


ST500DM002-1BD142

"Controlador de unidad:","Serial ATA 6Gb/s @ 3Gb/s"
"Controlador de host:","Intel Cougar Point PCH - SATA AHCI 6-Port Controller [B2]"
"Modelo de unidad:","Seagate ST500DM002-1BD142"
"Revisión de firmware de la unidad:","KC65"
"Número de serie de la unidad:","Z3TG24G5"
"Nombre mundial:","5000C500501E4FAC"
"Capacidad de la unidad:","476,940 MBytes (500 GB)"
"Drive Capacity [MB]:","476940"
"Tasa de rotación de medios:","7200 RPM"
"Versión principal de ATA admitida:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS"
"Versión secundaria de ATA admitida:","ATA8-ACS version 4"
"Versión de transporte ATA admitida:","SATA 3.0"
"Número de cilindros:","16383"
"Número de cabezas:","16"
"Sectores por pista:","63"
"Número de bytes ECC:","4"
"Número de sectores:","16514064"
"Total de sectores LBA de 48 bits:","976773168"
"Tamaño del sector lógico:","512 Bytes"
"Tamaño del búfer de caché:","16384 KBytes"
"Sectores por interrupción:","Total: 16, Active: 16"
"Máx. Modo de transferencia PIO:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Ancho de transferencia:","16-bit"
"Native Command Queuing:","Soportado, Máx. Profundidad: 32"
"Comando TRIM:","No soportado"
"Unidad fija:","Presente"
"Unidad extraíble:","No presente"
"Almacenamiento magnético:","Presente"
"Modo LBA:","Soportado"
"Modo DMA:","Soportado"
"IORDY:","Soportado"
"IORDY Deshabilitar:","Soportado"
"Caché grabable:","Presente, Activo"
"Función SMART:","Presente, Activo"
"Característica de seguridad:","Presente, Inactivo"
"Función de medios extraíbles:","No presente, Deshabilitado"
"Administración de energía:","Presente, Activo"
"Administración avanzada de energía:","No presente, Inactivo"
"Interfaz de paquetes:","No presente, Deshabilitado"
"Búfer de anticipación:","Presente, Activo"
"Área Protegida del Anfitrión:","Presente, Activado"
"Encendido en modo de espera:","No soportado, Inactivo"
"Gestión Acústica Automática:","No soportado, Inactivo"
"48-bit LBA:","Soportado, Activo"
"Administración de energía del enlace iniciado por el host (HIPM):","No soportado"
"Administración de energía de enlace iniciada por dispositivo (DIPM):","No soportado"
"In-Order Data Delivery:","No soportado"
"Control de funciones de hardware:","No soportado"
"Conservación de la configuración del software:","Soportado, Activado"
"NCQ Autosense:","No soportado"
"Link Power State Device Sleep:","No soportado"
"Función de información híbrida:","No soportado"
"Asistencia de reconstrucción:","No soportado"
"Deshabilitar energía:","No soportado"
"All Write Cache Non-Volatile:","No soportado"
"Número extendido de sectores direccionables por el usuario:","No soportado"
"CFast Specification:","No soportado"
"Información de prioridad de NCQ:","No soportado"
"Host Automatic Partial to Slumber Transitions:","No soportado"
"Device Automatic Partial to Slumber Transitions:","No soportado"
"NCQ Streaming:","No soportado"
"Comando de gestión de colas NCQ:","No soportado"
"DevSleep to Reduced Power State:","No soportado"
"Out Of Band Management Interface:","No soportado"
"Característica de condiciones de energía extendida:","No soportado"
"Función de informe de datos de sentido:","No soportado"
"Función de control de caída libre:","No soportado"
"Función de escritura, lectura y verificación:","Soportado, Deshabilitado"
"Característica de seguridad:","Soportado"
"Estado de seguridad:","Deshabilitado"
"Seguridad bloqueada:","Deshabilitado"
"Seguridad congelada:","Activado"
"Borrado de seguridad mejorado:","Soportado"
"Sanitize Feature:","No soportado"
"Sanitize Device - Crypto Scramble:","No soportado"
"Sanitize Device - Overwrite:","No soportado"
"Sanitize Device - Block Erase:","No soportado"
"Sanitize Device - Antifreeze Lock:","No soportado"
"Device Encrypts All User Data:","No soportado"
"Trusted Computing:","No soportado"
"[01] Tasa de errores en la lectura:","107/6, Peor: 99 (Data = 607680,0)"
"[03] Spin Up Time:","100/Siempre normales, Peor: 99"
"[04] Recuento de inicio/parada:","94/20, Peor: 94 (Data = 6499,0)"
"[05] Reasignado el conteo del sector:","100/36, Peor: 100"
"[07] Tasa de error de búsqueda:","87/30, Peor: 60 (Data = 633626672,1)"
"[09] Número de ciclos/horas de encendido:","76/Siempre normales, Peor: 76 (21539 horas / 2.46 años)"
"[0A] Giro número de reintentos:","100/97, Peor: 100"
"[0C] Recuento de ciclos de potencia:","94/20, Peor: 94 (Data = 6490,0)"
"[B7] Desplazamiento descendente de la interfaz SATA/bloque defectuoso del tiempo de ejecución:","100/Siempre normales, Peor: 100"
"[B8] Recuento de detección de errores de extremo a extremo:","100/99, Peor: 100"
"[BB] Errores no corregibles informados:","100/Siempre normales, Peor: 100"
"[BC] Recuento de tiempo de espera del comando:","100/Siempre normales, Peor: 100 (Data = 1,0)"
"[BD] High Fly escribe:","100/Siempre normales, Peor: 100"
"[BE] Temperatura del flujo de aire / Recuento excedido:","77/45, Peor: 64 (23.0 °C)"
"[C2] Temperatura:","23/Siempre normales, Peor: 40 (23.0 °C)"
"[C3] Hardware ECC recuperado:","53/Siempre normales, Peor: 31 (Data = 607680,0)"
"[C5] Recuento actual de sectores pendientes:","100/Siempre normales, Peor: 100"
"[C6] Recuento de sectores incorregibles fuera de línea:","100/Siempre normales, Peor: 100"
"[C7] Tasa de error UltraDMA/SATA CRC:","200/Siempre normales, Peor: 200"
"[F0] Head Flying Hours:","100/Siempre normales, Peor: 253 (Data = 21515,63234)"
"[F1] Escrituras de por vida desde el host (LBA escritos):","100/Siempre normales, Peor: 253 (Data = 1330318084,0)"
"[F2] Lecturas de por vida del host (lectura de LBA):","100/Siempre normales, Peor: 253 (Data = 1377345256,0)"

TSSTcorp DVD-RW SH-216BB

"Modelo de unidad:","TSSTcorp DVD-RW SH-216BB"
"Revisión de firmware de la unidad:","LW02"
"Número de serie:","R8UU68ECC000YC  "
"Tipo de dispositivo:","DVD+R DL"
"La unidad puede leer:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"La unidad puede escribir:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

Audio


Intel Cougar Point PCH - High Definition Audio Controller [B2]

"Adaptador de sonido:","Intel Cougar Point PCH - High Definition Audio Controller [B2]"
"ID de hardware del controlador de audio:","PCI\VEN_8086&DEV_1C20&SUBSYS_308C17AA&REV_04"
"Códec de audio de alta definición:","RealTek ALC662"
"ID de hardware del códec de audio:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0662&SUBSYS_17AA308C&REV_1001"
"Fabricante del controlador:","Microsoft"
"Descripción del controlador:","Dispositivo de High Definition Audio"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.264"
"Fecha del controlador del dispositivo:","08-May-2020"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0662&SUBSYS_17AA308C&REV_1001\4&10A5A29D&0&0001"

Red


Atheros AR9485 Wireless Network Adapter

"Tarjeta de red:","Atheros AR9485 Wireless Network Adapter"
"Descripción del proveedor:","Microsoft"
"Dirección MAC:","A0-F3-C1-FF-C6-F2"
"Velocidad máxima de enlace:","54 Mbps"
"Tamaño del búfer de transmisión:","6201344 Bytes"
"Tamaño del búfer de recepción:","6201344 Bytes"
"ID de hardware:","PCI\VEN_168C&DEV_0032&SUBSYS_3118168C&REV_01"
"Fabricante del controlador:","Qualcomm Atheros Communications Inc."
"Descripción del controlador:","Adaptador de red inalámbrica Qualcomm Atheros AR9485"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","3.0.2.201"
"Fecha del controlador del dispositivo:","25-Mar-2016"
"DeviceInstanceId","PCI\VEN_168C&DEV_0032&SUBSYS_3118168C&REV_01\4&27FDD97F&0&00E3"
"Location Paths","PCIROOT(0)#PCI(1C03)#PCI(0000)"

RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Tarjeta de red:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Descripción del proveedor:","Realtek PCIe GbE Family Controller"
"Dirección MAC:","D4-3D-7E-46-1C-FF"
"Velocidad máxima de enlace:","100 Mbps"
"Tamaño del búfer de transmisión:","193792 Bytes"
"Tamaño del búfer de recepción:","775168 Bytes"
"ID de hardware:","PCI\VEN_10EC&DEV_8168&SUBSYS_308C17AA&REV_06"
"Fabricante del controlador:","Realtek"
"Descripción del controlador:","Controladora de la familia Realtek PCIe GbE"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","9.1.410.2015"
"Fecha del controlador del dispositivo:","09-Apr-2015"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_308C17AA&REV_06\4&407D874&0&00E5"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)"

Puertos


Puertos seriales


COM1


USB


Intel(R) 6 Series/C200 Series Chipset Family USB Enhanced Host Controller - 1C2D


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&320D3147&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel(R) 6 Series/C200 Series Chipset Family USB Enhanced Host Controller - 1C26


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Fabricante del dispositivo:","Intel"
"Nombre del producto:","Intel Integrated Rate Matching Hub"
"Número de serie:",""
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Generic USB Hub"
"ID de hardware:","USB\VID_8087&PID_0024"
"Fabricante del controlador:","(Generic USB Hub)"
"Descripción del controlador:","Generic USB Hub"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0024\5&34820497&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : Kingston Technology DataTraveler G4

"Fabricante del dispositivo:","Kingston"
"Nombre del producto:","DataTraveler 3.0"
"Número de serie:","E0D55EA57490F4B0394629EE"
"Versión USB admitida:","3.00 (Connected to a USB 2.00 Port)"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"ID de hardware:","USB\VID_0951&PID_1666"
"Fabricante del controlador:","Dispositivo de almacenamiento USB compatible"
"Descripción del controlador:","Dispositivo de almacenamiento USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0951&PID_1666\E0D55EA57490F4B0394629EE"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(2)"

[Port3] : ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard

"Fabricante del dispositivo:","ELAN Microelectronics"
"Nombre del producto:","ELAN Microelectronics ActiveJet K-2024 Multimedia Keyboard"
"Número de serie:","-"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_04F3&PID_0103"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F3&PID_0103\6&17AEE501&0&3"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(3)"

[Port4] : Genius, PID=0186

"Fabricante del dispositivo:","KYE SYSTEMS CORP."
"Nombre del producto:","Wired Mouse"
"Número de serie:","N/A"
"Versión USB admitida:","1.10"
"Velocidad del dispositivo USB:","USB 1.1 Low-speed"
"Descripción del controlador:","Dispositivo compuesto USB"
"ID de hardware:","USB\VID_0458&PID_0186"
"Fabricante del controlador:","(Controladora de host USB estándar)"
"Descripción del controlador:","Dispositivo compuesto USB"
"Proveedor de controladores:","Microsoft"
"Versión del controlador:","10.0.19041.1949"
"Fecha del controlador del dispositivo:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0458&PID_0186\6&17AEE501&0&4"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(4)"

[Port5] : Realtek Semiconductor Realtek USB 2.0 Card Reader

"Fabricante del dispositivo:","Generic"
"Nombre del producto:","USB2.0-CRW"
"Número de serie:","20060413092100000"
"Versión USB admitida:","2.00"
"Velocidad del dispositivo USB:","USB 2.0 High-speed"
"Descripción del controlador:","Realtek USB 2.0 Card Reader"
"ID de hardware:","USB\VID_0BDA&PID_0186"
"Fabricante del controlador:","Realtek Semiconductor Corp."
"Descripción del controlador:","Realtek USB 2.0 Card Reader"
"Proveedor de controladores:","Realtek Semiconductor Corp."
"Versión del controlador:","10.0.16299.31241"
"Fecha del controlador del dispositivo:","14-Mar-2018"
"DeviceInstanceId","USB\VID_0BDA&PID_0186\20060413092100000"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)#USB(5)"

[Port6] : No Device Connected


[Port2] : No Device Connected

